000:09:17.986,Info,Arena,2,Enter_Zone,4
000:09:18.014,Info,Arena,2,Exit_Zone,4
000:09:18.014,Info,Arena,2,Enter_Zone,3
000:09:24.912,Info,Arena,1,Exit_Zone,2
000:09:24.912,Info,Arena,1,Enter_Zone,4
000:09:25.945,Info,Arena,1,Exit_Zone,4
000:09:25.945,Info,Arena,1,Enter_Zone,1
000:09:33.011,Info,Arena,2,Exit_Zone,3
000:09:33.011,Info,Arena,2,Enter_Zone,4
000:09:33.877,Info,Arena,2,Exit_Zone,4
000:09:33.877,Info,Arena,2,Enter_Zone,1
000:09:38.610,Info,Arena,1,Exit_Zone,1
000:09:38.610,Info,Arena,1,Enter_Zone,4
000:09:39.678,Info,Arena,1,Exit_Zone,4
000:09:39.678,Info,Arena,1,Enter_Zone,2
000:09:39.709,Info,Arena,1,Exit_Zone,2
000:09:39.709,Info,Arena,1,Enter_Zone,4
000:09:39.777,Info,Arena,1,Exit_Zone,4
000:09:39.777,Info,Arena,1,Enter_Zone,2
000:09:39.877,Info,Arena,1,Exit_Zone,2
000:09:39.877,Info,Arena,1,Enter_Zone,4
000:09:40.109,Info,Arena,1,Exit_Zone,4
000:09:40.109,Info,Arena,1,Enter_Zone,2
000:09:40.146,Info,Arena,1,Exit_Zone,2
000:09:40.146,Info,Arena,1,Enter_Zone,4
000:09:40.377,Info,Arena,1,Exit_Zone,4
000:09:40.377,Info,Arena,1,Enter_Zone,2
000:09:40.409,Info,Arena,1,Exit_Zone,2
000:09:40.409,Info,Arena,1,Enter_Zone,4
000:09:40.542,Info,Arena,1,Exit_Zone,4
000:09:40.542,Info,Arena,1,Enter_Zone,2
000:09:48.575,Info,Arena,2,Exit_Zone,1
000:09:48.575,Info,Arena,2,Enter_Zone,4
000:09:51.042,Info,Arena,2,Exit_Zone,4
000:09:51.042,Info,Arena,2,Enter_Zone,2
000:09:58.906,Info,Arena,1,Exit_Zone,2
000:09:58.906,Info,Arena,1,Enter_Zone,4
000:10:00.205,Info,Arena,1,Exit_Zone,4
000:10:00.205,Info,Arena,1,Enter_Zone,3
000:10:10.807,Info,Arena,2,Exit_Zone,2
000:10:10.807,Info,Arena,2,Enter_Zone,4
000:10:12.371,Info,Arena,2,Exit_Zone,4
000:10:12.371,Info,Arena,2,Enter_Zone,1
000:10:23.001,Info,Arena,1,Exit_Zone,3
000:10:23.001,Info,Arena,1,Enter_Zone,4
000:10:23.434,Info,Arena,2,Exit_Zone,1
000:10:23.434,Info,Arena,2,Enter_Zone,4
000:10:25.200,Info,Arena,1,Exit_Zone,4
000:10:25.200,Info,Arena,1,Enter_Zone,1
000:10:26.700,Info,Arena,2,Exit_Zone,4
000:10:26.700,Info,Arena,2,Enter_Zone,1
000:10:36.332,Info,Arena,1,Exit_Zone,1
000:10:36.332,Info,Arena,1,Enter_Zone,4
000:10:38.031,Info,Arena,1,Exit_Zone,4
000:10:38.031,Info,Arena,1,Enter_Zone,2
000:10:38.099,Info,Arena,1,Exit_Zone,2
000:10:38.099,Info,Arena,1,Enter_Zone,4
000:10:38.135,Info,Arena,1,Exit_Zone,4
000:10:38.135,Info,Arena,1,Enter_Zone,2
000:10:41.231,Info,Arena,2,Exit_Zone,1
000:10:41.231,Info,Arena,2,Enter_Zone,4
000:10:43.968,Info,Arena,2,Exit_Zone,4
000:10:43.968,Info,Arena,2,Enter_Zone,3
000:10:50.262,Info,Arena,1,Exit_Zone,2
000:10:50.262,Info,Arena,1,Enter_Zone,4
000:10:52.229,Info,Arena,1,Exit_Zone,4
000:10:52.229,Info,Arena,1,Enter_Zone,1
000:10:53.363,Info,Arena,2,Exit_Zone,3
000:10:53.363,Info,Arena,2,Enter_Zone,4
000:10:58.362,Info,Arena,2,Exit_Zone,4
000:10:58.362,Info,Arena,2,Enter_Zone,2
000:11:02.660,Info,Arena,1,Exit_Zone,1
000:11:02.660,Info,Arena,1,Enter_Zone,4
000:11:04.630,Info,Arena,1,Exit_Zone,4
000:11:04.630,Info,Arena,1,Enter_Zone,2
000:11:07.462,Info,Arena,2,Exit_Zone,2
000:11:07.462,Info,Arena,2,Enter_Zone,4
000:11:10.025,Info,Arena,2,Exit_Zone,4
000:11:10.025,Info,Arena,2,Enter_Zone,1
000:11:40.255,Info,Arena,2,Exit_Zone,1
000:11:40.255,Info,Arena,2,Enter_Zone,4
000:11:42.219,Info,Arena,2,Exit_Zone,4
000:11:42.219,Info,Arena,2,Enter_Zone,3
000:12:52.838,Info,Arena,2,Exit_Zone,3
000:12:52.838,Info,Arena,2,Enter_Zone,4
000:12:58.670,Info,Arena,2,Exit_Zone,4
000:12:58.670,Info,Arena,2,Enter_Zone,1
000:13:05.537,Info,Arena,1,Exit_Zone,2
000:13:05.537,Info,Arena,1,Enter_Zone,4
000:13:07.402,Info,Arena,1,Exit_Zone,4
000:13:07.402,Info,Arena,1,Enter_Zone,1
000:13:08.272,Info,Arena,2,Exit_Zone,1
000:13:08.272,Info,Arena,2,Enter_Zone,4
000:13:10.136,Info,Arena,2,Exit_Zone,4
000:13:10.136,Info,Arena,2,Enter_Zone,3
000:13:45.061,Info,Arena,1,Exit_Zone,1
000:13:45.061,Info,Arena,1,Enter_Zone,4
000:13:46.494,Info,Arena,1,Exit_Zone,4
000:13:46.494,Info,Arena,1,Enter_Zone,1
000:13:56.625,Info,Arena,1,Exit_Zone,1
000:13:56.625,Info,Arena,1,Enter_Zone,4
000:13:58.625,Info,Arena,1,Exit_Zone,4
000:13:58.625,Info,Arena,1,Enter_Zone,3
000:14:21.322,Info,Arena,2,Exit_Zone,3
000:14:21.322,Info,Arena,2,Enter_Zone,4
000:14:25.257,Info,Arena,2,Exit_Zone,4
000:14:25.257,Info,Arena,2,Enter_Zone,2
000:14:26.153,Info,Arena,1,Exit_Zone,3
000:14:26.153,Info,Arena,1,Enter_Zone,4
000:14:29.120,Info,Arena,1,Exit_Zone,4
000:14:29.120,Info,Arena,1,Enter_Zone,1
000:14:34.721,Info,Arena,2,Exit_Zone,2
000:14:34.721,Info,Arena,2,Enter_Zone,4
000:14:37.684,Info,Arena,2,Exit_Zone,4
000:14:37.684,Info,Arena,2,Enter_Zone,1
000:14:51.848,Info,Arena,1,Exit_Zone,1
000:14:51.848,Info,Arena,1,Enter_Zone,4
000:14:55.347,Info,Arena,1,Exit_Zone,4
000:14:55.347,Info,Arena,1,Enter_Zone,3
000:14:58.417,Info,Arena,1,Exit_Zone,3
000:14:58.417,Info,Arena,1,Enter_Zone,4
000:14:59.380,Info,Arena,1,Exit_Zone,4
000:14:59.380,Info,Arena,1,Enter_Zone,3
000:15:04.045,Info,Arena,2,Exit_Zone,1
000:15:04.045,Info,Arena,2,Enter_Zone,4
000:15:04.878,Info,Arena,2,Exit_Zone,4
000:15:04.878,Info,Arena,2,Enter_Zone,3
000:15:53.469,Info,Arena,2,Exit_Zone,3
000:15:53.469,Info,Arena,2,Enter_Zone,4
000:15:54.503,Info,Arena,2,Exit_Zone,4
000:15:54.503,Info,Arena,2,Enter_Zone,1
000:16:04.905,Info,Arena,2,Exit_Zone,1
000:16:04.905,Info,Arena,2,Enter_Zone,4
000:16:06.933,Info,Arena,2,Exit_Zone,4
000:16:06.933,Info,Arena,2,Enter_Zone,3
000:16:20.997,Info,Arena,1,Exit_Zone,3
000:16:20.997,Info,Arena,1,Enter_Zone,4
000:16:25.066,Info,Arena,1,Exit_Zone,4
000:16:25.066,Info,Arena,1,Enter_Zone,3
000:16:29.066,Info,Arena,1,Exit_Zone,3
000:16:29.066,Info,Arena,1,Enter_Zone,4
000:16:32.828,Info,Arena,1,Exit_Zone,4
000:16:32.828,Info,Arena,1,Enter_Zone,1
000:17:20.087,Info,Arena,1,Exit_Zone,1
000:17:20.087,Info,Arena,1,Enter_Zone,4
000:17:22.451,Info,Arena,1,Exit_Zone,4
000:17:22.451,Info,Arena,1,Enter_Zone,2
000:17:24.889,Info,Arena,1,Exit_Zone,2
000:17:24.889,Info,Arena,1,Enter_Zone,4
000:17:27.150,Info,Arena,1,Exit_Zone,4
000:17:27.150,Info,Arena,1,Enter_Zone,3
000:17:33.149,Info,Arena,1,Exit_Zone,3
000:17:33.149,Info,Arena,1,Enter_Zone,4
000:17:34.849,Info,Arena,1,Exit_Zone,4
000:17:34.849,Info,Arena,1,Enter_Zone,2
000:18:34.404,Info,Arena,2,Exit_Zone,3
000:18:34.404,Info,Arena,2,Enter_Zone,4
000:18:35.672,Info,Arena,2,Exit_Zone,4
000:18:35.672,Info,Arena,2,Enter_Zone,1
000:18:45.902,Info,Arena,2,Exit_Zone,1
000:18:45.902,Info,Arena,2,Enter_Zone,4
000:18:47.635,Info,Arena,2,Exit_Zone,4
000:18:47.635,Info,Arena,2,Enter_Zone,2
000:18:56.703,Info,Arena,2,Exit_Zone,2
000:18:56.703,Info,Arena,2,Enter_Zone,4
000:18:58.036,Info,Arena,2,Exit_Zone,4
000:18:58.036,Info,Arena,2,Enter_Zone,2
000:19:10.931,Info,Arena,2,Exit_Zone,2
000:19:10.931,Info,Arena,2,Enter_Zone,4
000:19:12.200,Info,Arena,1,Exit_Zone,2
000:19:12.200,Info,Arena,1,Enter_Zone,4
000:19:16.129,Info,Arena,1,Exit_Zone,4
000:19:16.129,Info,Arena,1,Enter_Zone,1
000:19:16.429,Info,Arena,1,Exit_Zone,1
000:19:16.429,Info,Arena,1,Enter_Zone,4
000:19:16.496,Info,Arena,1,Exit_Zone,4
000:19:16.496,Info,Arena,1,Enter_Zone,1
000:19:16.962,Info,Arena,2,Exit_Zone,4
000:19:16.962,Info,Arena,2,Enter_Zone,3
000:19:18.229,Info,Arena,2,Exit_Zone,3
000:19:18.229,Info,Arena,2,Enter_Zone,4
000:19:21.228,Info,Arena,2,Exit_Zone,4
000:19:21.228,Info,Arena,2,Enter_Zone,2
000:19:37.059,Info,Arena,2,Exit_Zone,2
000:19:37.059,Info,Arena,2,Enter_Zone,4
000:19:40.259,Info,Arena,2,Exit_Zone,4
000:19:40.259,Info,Arena,2,Enter_Zone,1
000:19:41.091,Info,Arena,1,Exit_Zone,1
000:19:41.091,Info,Arena,1,Enter_Zone,4
000:19:44.658,Info,Arena,1,Exit_Zone,4
000:19:44.658,Info,Arena,1,Enter_Zone,1
000:19:52.656,Info,Arena,2,Exit_Zone,1
000:19:52.656,Info,Arena,2,Enter_Zone,4
000:20:02.121,Info,Arena,2,Exit_Zone,4
000:20:02.121,Info,Arena,2,Enter_Zone,1
000:20:19.283,Info,Arena,2,Exit_Zone,1
000:20:19.283,Info,Arena,2,Enter_Zone,4
000:20:21.189,Info,Arena,2,Exit_Zone,4
000:20:21.189,Info,Arena,2,Enter_Zone,3
000:20:29.548,Info,Arena,1,Exit_Zone,1
000:20:29.548,Info,Arena,1,Enter_Zone,4
000:20:31.714,Info,Arena,1,Exit_Zone,4
