000:02:16.112,Info,Arena,2,Enter_Zone,4
000:02:16.678,Info,Arena,2,Exit_Zone,4
000:02:16.678,Info,Arena,2,Enter_Zone,1
000:02:19.311,Info,Arena,1,Exit_Zone,4
000:02:19.311,Info,Arena,1,Enter_Zone,2
000:02:19.415,Info,Arena,1,Exit_Zone,2
000:02:19.415,Info,Arena,1,Enter_Zone,4
000:02:20.011,Info,Arena,2,Exit_Zone,1
000:02:20.011,Info,Arena,2,Enter_Zone,4
000:02:20.378,Info,Arena,2,Exit_Zone,4
000:02:20.378,Info,Arena,2,Enter_Zone,3
000:02:20.544,Info,Arena,1,Exit_Zone,4
000:02:20.544,Info,Arena,1,Enter_Zone,1
000:02:21.377,Info,Arena,1,Exit_Zone,1
000:02:21.377,Info,Arena,1,Enter_Zone,4
000:02:21.977,Info,Arena,2,Exit_Zone,3
000:02:21.977,Info,Arena,2,Enter_Zone,4
000:02:22.144,Info,Arena,1,Exit_Zone,4
000:02:22.144,Info,Arena,1,Enter_Zone,3
000:02:22.645,Info,Arena,2,Exit_Zone,4
000:02:22.645,Info,Arena,2,Enter_Zone,1
000:02:23.477,Info,Arena,2,Exit_Zone,1
000:02:23.477,Info,Arena,2,Enter_Zone,4
000:02:23.710,Info,Arena,1,Exit_Zone,3
000:02:23.710,Info,Arena,1,Enter_Zone,4
000:02:24.377,Info,Arena,1,Exit_Zone,4
000:02:24.377,Info,Arena,1,Enter_Zone,1
000:02:24.477,Info,Arena,2,Exit_Zone,4
000:02:24.477,Info,Arena,2,Enter_Zone,1
000:02:28.209,Info,Arena,1,Exit_Zone,1
000:02:28.209,Info,Arena,1,Enter_Zone,4
000:02:28.709,Info,Arena,1,Exit_Zone,4
000:02:28.709,Info,Arena,1,Enter_Zone,2
000:02:29.542,Info,Arena,2,Exit_Zone,1
000:02:29.542,Info,Arena,2,Enter_Zone,4
000:02:29.913,Info,Arena,2,Exit_Zone,4
000:02:29.913,Info,Arena,2,Enter_Zone,3
000:02:32.875,Info,Arena,2,Exit_Zone,3
000:02:32.875,Info,Arena,2,Enter_Zone,4
000:02:33.142,Info,Arena,2,Exit_Zone,4
000:02:33.142,Info,Arena,2,Enter_Zone,1
000:02:35.308,Info,Arena,2,Exit_Zone,1
000:02:35.308,Info,Arena,2,Enter_Zone,4
000:02:35.541,Info,Arena,2,Exit_Zone,4
000:02:35.541,Info,Arena,2,Enter_Zone,1
000:02:36.412,Info,Arena,1,Exit_Zone,2
000:02:36.412,Info,Arena,1,Enter_Zone,4
000:02:37.078,Info,Arena,1,Exit_Zone,4
000:02:37.078,Info,Arena,1,Enter_Zone,3
000:02:37.308,Info,Arena,2,Exit_Zone,1
000:02:37.308,Info,Arena,2,Enter_Zone,4
000:02:37.443,Info,Arena,1,Exit_Zone,3
000:02:37.443,Info,Arena,1,Enter_Zone,4
000:02:37.674,Info,Arena,2,Exit_Zone,4
000:02:37.674,Info,Arena,2,Enter_Zone,3
000:02:37.745,Info,Arena,1,Exit_Zone,4
000:02:37.745,Info,Arena,1,Enter_Zone,2
000:02:42.107,Info,Arena,2,Exit_Zone,3
000:02:42.107,Info,Arena,2,Enter_Zone,4
000:02:42.340,Info,Arena,2,Exit_Zone,4
000:02:42.340,Info,Arena,2,Enter_Zone,1
000:02:43.245,Info,Arena,2,Exit_Zone,1
000:02:43.245,Info,Arena,2,Enter_Zone,4
000:02:43.673,Info,Arena,2,Exit_Zone,4
000:02:43.673,Info,Arena,2,Enter_Zone,1
000:02:46.244,Info,Arena,2,Exit_Zone,1
000:02:46.244,Info,Arena,2,Enter_Zone,4
000:02:47.040,Info,Arena,2,Exit_Zone,4
000:02:47.040,Info,Arena,2,Enter_Zone,1
000:02:49.839,Info,Arena,1,Exit_Zone,2
000:02:49.839,Info,Arena,1,Enter_Zone,4
000:02:49.972,Info,Arena,1,Exit_Zone,4
000:02:49.972,Info,Arena,1,Enter_Zone,2
000:02:50.205,Info,Arena,2,Exit_Zone,1
000:02:50.205,Info,Arena,2,Enter_Zone,4
000:02:50.705,Info,Arena,2,Exit_Zone,4
000:02:50.705,Info,Arena,2,Enter_Zone,2
000:02:53.908,Info,Arena,2,Exit_Zone,2
000:02:53.908,Info,Arena,2,Enter_Zone,4
000:02:54.304,Info,Arena,1,Exit_Zone,2
000:02:54.304,Info,Arena,1,Enter_Zone,4
000:02:54.408,Info,Arena,2,Exit_Zone,4
000:02:54.408,Info,Arena,2,Enter_Zone,1
000:02:55.304,Info,Arena,1,Exit_Zone,4
000:02:55.304,Info,Arena,1,Enter_Zone,1
000:02:59.909,Info,Arena,2,Exit_Zone,1
000:02:59.909,Info,Arena,2,Enter_Zone,4
000:03:00.370,Info,Arena,2,Exit_Zone,4
000:03:00.370,Info,Arena,2,Enter_Zone,3
000:03:00.437,Info,Arena,1,Exit_Zone,1
000:03:00.437,Info,Arena,1,Enter_Zone,4
000:03:01.003,Info,Arena,1,Exit_Zone,4
000:03:01.003,Info,Arena,1,Enter_Zone,1
000:03:05.002,Info,Arena,2,Exit_Zone,3
000:03:05.002,Info,Arena,2,Enter_Zone,4
000:03:05.335,Info,Arena,2,Exit_Zone,4
000:03:05.335,Info,Arena,2,Enter_Zone,1
000:03:07.604,Info,Arena,1,Exit_Zone,1
000:03:07.604,Info,Arena,1,Enter_Zone,4
000:03:07.701,Info,Arena,2,Exit_Zone,1
000:03:07.701,Info,Arena,2,Enter_Zone,4
000:03:08.036,Info,Arena,2,Exit_Zone,4
000:03:08.036,Info,Arena,2,Enter_Zone,3
000:03:08.136,Info,Arena,1,Exit_Zone,4
000:03:08.136,Info,Arena,1,Enter_Zone,3
000:03:08.768,Info,Arena,1,Exit_Zone,3
000:03:08.768,Info,Arena,1,Enter_Zone,4
000:03:09.738,Info,Arena,1,Exit_Zone,4
000:03:09.738,Info,Arena,1,Enter_Zone,3
000:03:10.635,Info,Arena,2,Exit_Zone,3
000:03:10.635,Info,Arena,2,Enter_Zone,4
000:03:10.836,Info,Arena,2,Exit_Zone,4
000:03:10.836,Info,Arena,2,Enter_Zone,1
000:03:14.700,Info,Arena,1,Exit_Zone,3
000:03:14.700,Info,Arena,1,Enter_Zone,4
000:03:15.200,Info,Arena,1,Exit_Zone,4
