0,Info,21/8/22 5:38,Service 'ymaze_inLT' : Execution start,,
188.183,Info,Arena,3,Exit_Zone,4
188.183,Info,Arena,3,Enter_Zone,3
190.383,Info,Arena,3,Exit_Zone,3
190.383,Info,Arena,3,Enter_Zone,4
190.416,Info,Arena,3,Exit_Zone,4
190.416,Info,Arena,3,Enter_Zone,2
191.683,Info,Arena,2,Exit_Zone,2
191.683,Info,Arena,2,Enter_Zone,4
192.049,Info,Arena,2,Exit_Zone,4
192.049,Info,Arena,2,Enter_Zone,1
192.349,Info,Arena,1,Exit_Zone,1
192.349,Info,Arena,1,Enter_Zone,4
192.949,Info,Arena,1,Exit_Zone,4
192.949,Info,Arena,1,Enter_Zone,3
193.049,Info,Arena,1,Exit_Zone,3
193.049,Info,Arena,1,Enter_Zone,4
193.316,Info,Arena,1,Exit_Zone,4
193.316,Info,Arena,1,Enter_Zone,3
195.816,Info,Arena,2,Exit_Zone,1
195.816,Info,Arena,2,Enter_Zone,4
196.715,Info,Arena,2,Exit_Zone,4
196.715,Info,Arena,2,Enter_Zone,2
200.082,Info,Arena,1,Exit_Zone,3
200.082,Info,Arena,1,Enter_Zone,4
200.449,Info,Arena,3,Exit_Zone,2
200.449,Info,Arena,3,Enter_Zone,4
200.515,Info,Arena,1,Exit_Zone,4
200.515,Info,Arena,1,Enter_Zone,1
201.315,Info,Arena,2,Exit_Zone,2
201.315,Info,Arena,2,Enter_Zone,4
201.348,Info,Arena,3,Exit_Zone,4
201.348,Info,Arena,3,Enter_Zone,3
201.548,Info,Arena,2,Exit_Zone,4
201.548,Info,Arena,2,Enter_Zone,3
201.848,Info,Arena,3,Exit_Zone,3
201.848,Info,Arena,3,Enter_Zone,4
202.015,Info,Arena,3,Exit_Zone,4
202.015,Info,Arena,3,Enter_Zone,2
203.215,Info,Arena,1,Exit_Zone,1
203.215,Info,Arena,1,Enter_Zone,4
203.582,Info,Arena,1,Exit_Zone,4
203.582,Info,Arena,1,Enter_Zone,2
205.681,Info,Arena,2,Exit_Zone,3
205.681,Info,Arena,2,Enter_Zone,4
205.815,Info,Arena,2,Exit_Zone,4
205.815,Info,Arena,2,Enter_Zone,2
207.048,Info,Arena,1,Exit_Zone,2
207.048,Info,Arena,1,Enter_Zone,4
207.181,Info,Arena,1,Exit_Zone,4
207.181,Info,Arena,1,Enter_Zone,3
210.482,Info,Arena,1,Exit_Zone,3
210.482,Info,Arena,1,Enter_Zone,4
210.581,Info,Arena,2,Exit_Zone,2
210.581,Info,Arena,2,Enter_Zone,4
210.648,Info,Arena,1,Exit_Zone,4
210.648,Info,Arena,1,Enter_Zone,2
211.181,Info,Arena,2,Exit_Zone,4
211.181,Info,Arena,2,Enter_Zone,1
216.447,Info,Arena,3,Exit_Zone,2
216.447,Info,Arena,3,Enter_Zone,4
217.08,Info,Arena,3,Exit_Zone,4
217.08,Info,Arena,3,Enter_Zone,3
217.114,Info,Arena,1,Exit_Zone,2
217.114,Info,Arena,1,Enter_Zone,4
217.447,Info,Arena,1,Exit_Zone,4
217.447,Info,Arena,1,Enter_Zone,3
217.447,Info,Arena,2,Exit_Zone,1
217.447,Info,Arena,2,Enter_Zone,4
217.447,Info,Arena,3,Exit_Zone,3
217.447,Info,Arena,3,Enter_Zone,4
218.147,Info,Arena,3,Exit_Zone,4
218.147,Info,Arena,3,Enter_Zone,1
218.314,Info,Arena,2,Exit_Zone,4
218.314,Info,Arena,2,Enter_Zone,3
219.247,Info,Arena,3,Exit_Zone,1
219.247,Info,Arena,3,Enter_Zone,4
219.58,Info,Arena,3,Exit_Zone,4
219.58,Info,Arena,3,Enter_Zone,2
219.914,Info,Arena,3,Exit_Zone,2
219.914,Info,Arena,3,Enter_Zone,4
219.947,Info,Arena,3,Exit_Zone,4
219.947,Info,Arena,3,Enter_Zone,2
220.08,Info,Arena,3,Exit_Zone,2
220.08,Info,Arena,3,Enter_Zone,4
221.047,Info,Arena,1,Exit_Zone,3
221.047,Info,Arena,1,Enter_Zone,4
221.114,Info,Arena,3,Exit_Zone,4
221.114,Info,Arena,3,Enter_Zone,2
221.28,Info,Arena,1,Exit_Zone,4
221.28,Info,Arena,1,Enter_Zone,2
223.347,Info,Arena,2,Exit_Zone,3
223.347,Info,Arena,2,Enter_Zone,4
223.613,Info,Arena,2,Exit_Zone,4
223.613,Info,Arena,2,Enter_Zone,2
227.546,Info,Arena,1,Exit_Zone,2
227.546,Info,Arena,1,Enter_Zone,4
227.813,Info,Arena,1,Exit_Zone,4
227.813,Info,Arena,1,Enter_Zone,3
230.079,Info,Arena,2,Exit_Zone,2
230.079,Info,Arena,2,Enter_Zone,3
231.279,Info,Arena,3,Exit_Zone,2
231.279,Info,Arena,3,Enter_Zone,4
231.379,Info,Arena,1,Exit_Zone,3
231.379,Info,Arena,1,Enter_Zone,4
231.746,Info,Arena,1,Exit_Zone,4
231.746,Info,Arena,1,Enter_Zone,1
232.279,Info,Arena,3,Exit_Zone,4
232.279,Info,Arena,3,Enter_Zone,3
234.146,Info,Arena,2,Exit_Zone,3
234.146,Info,Arena,2,Enter_Zone,4
234.246,Info,Arena,2,Exit_Zone,4
234.246,Info,Arena,2,Enter_Zone,2
234.846,Info,Arena,1,Exit_Zone,1
234.846,Info,Arena,1,Enter_Zone,4
235.012,Info,Arena,1,Exit_Zone,4
235.012,Info,Arena,1,Enter_Zone,2
235.446,Info,Arena,1,Exit_Zone,2
235.446,Info,Arena,1,Enter_Zone,4
235.546,Info,Arena,1,Exit_Zone,4
235.546,Info,Arena,1,Enter_Zone,3
238.912,Info,Arena,3,Exit_Zone,3
238.912,Info,Arena,3,Enter_Zone,4
239.745,Info,Arena,3,Exit_Zone,4
239.745,Info,Arena,3,Enter_Zone,2
241.312,Info,Arena,2,Exit_Zone,2
241.312,Info,Arena,2,Enter_Zone,3
244.745,Info,Arena,1,Exit_Zone,3
244.745,Info,Arena,1,Enter_Zone,4
244.978,Info,Arena,1,Exit_Zone,4
244.978,Info,Arena,1,Enter_Zone,1
246.045,Info,Arena,3,Exit_Zone,2
246.045,Info,Arena,3,Enter_Zone,4
246.445,Info,Arena,2,Exit_Zone,3
246.445,Info,Arena,2,Enter_Zone,2
246.712,Info,Arena,3,Exit_Zone,4
246.712,Info,Arena,3,Enter_Zone,1
249.045,Info,Arena,1,Exit_Zone,1
249.045,Info,Arena,1,Enter_Zone,4
249.445,Info,Arena,1,Exit_Zone,4
249.445,Info,Arena,1,Enter_Zone,3
249.945,Info,Arena,2,Exit_Zone,2
249.945,Info,Arena,2,Enter_Zone,3
251.744,Info,Arena,3,Exit_Zone,1
251.744,Info,Arena,3,Enter_Zone,4
251.778,Info,Arena,3,Exit_Zone,4
251.778,Info,Arena,3,Enter_Zone,1
251.944,Info,Arena,3,Exit_Zone,1
251.944,Info,Arena,3,Enter_Zone,4
252.178,Info,Arena,3,Exit_Zone,4
252.178,Info,Arena,3,Enter_Zone,3
252.911,Info,Arena,1,Exit_Zone,3
252.911,Info,Arena,1,Enter_Zone,4
253.178,Info,Arena,1,Exit_Zone,4
253.178,Info,Arena,1,Enter_Zone,2
254.311,Info,Arena,2,Exit_Zone,3
254.311,Info,Arena,2,Enter_Zone,4
254.611,Info,Arena,2,Exit_Zone,4
254.611,Info,Arena,2,Enter_Zone,1
257.977,Info,Arena,3,Exit_Zone,3
257.977,Info,Arena,3,Enter_Zone,4
258.311,Info,Arena,3,Exit_Zone,4
258.311,Info,Arena,3,Enter_Zone,2
259.61,Info,Arena,2,Exit_Zone,1
259.61,Info,Arena,2,Enter_Zone,4
260.077,Info,Arena,2,Exit_Zone,4
260.077,Info,Arena,2,Enter_Zone,3
261.51,Info,Arena,1,Exit_Zone,2
261.51,Info,Arena,1,Enter_Zone,4
262.31,Info,Arena,1,Exit_Zone,4
262.31,Info,Arena,1,Enter_Zone,3
264.61,Info,Arena,2,Exit_Zone,3
264.61,Info,Arena,2,Enter_Zone,4
264.71,Info,Arena,2,Exit_Zone,4
264.71,Info,Arena,2,Enter_Zone,2
264.877,Info,Arena,2,Exit_Zone,2
264.877,Info,Arena,2,Enter_Zone,4
265.143,Info,Arena,2,Exit_Zone,4
265.143,Info,Arena,2,Enter_Zone,1
265.877,Info,Arena,3,Exit_Zone,2
265.877,Info,Arena,3,Enter_Zone,4
266.01,Info,Arena,1,Exit_Zone,3
266.01,Info,Arena,1,Enter_Zone,4
266.277,Info,Arena,1,Exit_Zone,4
266.277,Info,Arena,1,Enter_Zone,1
266.71,Info,Arena,3,Exit_Zone,4
266.71,Info,Arena,3,Enter_Zone,3
270.943,Info,Arena,2,Exit_Zone,1
270.943,Info,Arena,2,Enter_Zone,4
271.01,Info,Arena,2,Exit_Zone,4
271.01,Info,Arena,2,Enter_Zone,2
271.276,Info,Arena,1,Exit_Zone,1
271.276,Info,Arena,1,Enter_Zone,4
271.743,Info,Arena,1,Exit_Zone,4
271.743,Info,Arena,1,Enter_Zone,3
272.009,Info,Arena,3,Exit_Zone,3
272.009,Info,Arena,3,Enter_Zone,4
272.643,Info,Arena,3,Exit_Zone,4
272.643,Info,Arena,3,Enter_Zone,2
273.743,Info,Arena,3,Exit_Zone,2
273.743,Info,Arena,3,Enter_Zone,4
273.909,Info,Arena,3,Exit_Zone,4
273.909,Info,Arena,3,Enter_Zone,3
274.543,Info,Arena,1,Exit_Zone,3
274.543,Info,Arena,1,Enter_Zone,4
275.043,Info,Arena,1,Exit_Zone,4
275.043,Info,Arena,1,Enter_Zone,1
275.912,Info,Arena,2,Exit_Zone,2
275.912,Info,Arena,2,Enter_Zone,4
276.276,Info,Arena,2,Exit_Zone,4
276.276,Info,Arena,2,Enter_Zone,3
278.342,Info,Arena,1,Exit_Zone,1
278.342,Info,Arena,1,Enter_Zone,4
278.609,Info,Arena,1,Exit_Zone,4
278.609,Info,Arena,1,Enter_Zone,3
279.409,Info,Arena,3,Exit_Zone,3
279.409,Info,Arena,3,Enter_Zone,4
279.942,Info,Arena,3,Exit_Zone,4
279.942,Info,Arena,3,Enter_Zone,2
281.009,Info,Arena,1,Exit_Zone,3
281.009,Info,Arena,1,Enter_Zone,4
281.709,Info,Arena,1,Exit_Zone,4
281.709,Info,Arena,1,Enter_Zone,1
284.042,Info,Arena,2,Exit_Zone,3
284.042,Info,Arena,2,Enter_Zone,2
285.109,Info,Arena,1,Exit_Zone,1
285.109,Info,Arena,1,Enter_Zone,4
285.342,Info,Arena,1,Exit_Zone,4
285.342,Info,Arena,1,Enter_Zone,3
286.875,Info,Arena,3,Exit_Zone,2
286.875,Info,Arena,3,Enter_Zone,4
287.708,Info,Arena,3,Exit_Zone,4
287.708,Info,Arena,3,Enter_Zone,1
291.308,Info,Arena,2,Exit_Zone,2
291.308,Info,Arena,2,Enter_Zone,4
291.441,Info,Arena,2,Exit_Zone,4
291.441,Info,Arena,2,Enter_Zone,3
292.575,Info,Arena,1,Exit_Zone,3
292.575,Info,Arena,1,Enter_Zone,4
293.041,Info,Arena,1,Exit_Zone,4
293.041,Info,Arena,1,Enter_Zone,1
293.041,Info,Arena,3,Exit_Zone,1
293.041,Info,Arena,3,Enter_Zone,4
293.408,Info,Arena,3,Exit_Zone,4
293.408,Info,Arena,3,Enter_Zone,3
297.374,Info,Arena,2,Exit_Zone,3
297.374,Info,Arena,2,Enter_Zone,4
297.741,Info,Arena,2,Exit_Zone,4
297.741,Info,Arena,2,Enter_Zone,1
298.207,Info,Arena,1,Exit_Zone,1
298.207,Info,Arena,1,Enter_Zone,4
298.507,Info,Arena,1,Exit_Zone,4
298.507,Info,Arena,1,Enter_Zone,2
299.007,Info,Arena,1,Exit_Zone,2
299.007,Info,Arena,1,Enter_Zone,4
299.174,Info,Arena,1,Exit_Zone,4
299.174,Info,Arena,1,Enter_Zone,3
300.841,Info,Arena,3,Exit_Zone,3
300.841,Info,Arena,3,Enter_Zone,4
301.407,Info,Arena,3,Exit_Zone,4
301.407,Info,Arena,3,Enter_Zone,1
302.974,Info,Arena,1,Exit_Zone,3
302.974,Info,Arena,1,Enter_Zone,4
303.507,Info,Arena,1,Exit_Zone,4
303.507,Info,Arena,1,Enter_Zone,1
306.64,Info,Arena,1,Exit_Zone,1
306.64,Info,Arena,1,Enter_Zone,4
306.907,Info,Arena,1,Exit_Zone,4
306.907,Info,Arena,1,Enter_Zone,2
307.34,Info,Arena,2,Exit_Zone,1
307.34,Info,Arena,2,Enter_Zone,4
307.807,Info,Arena,2,Exit_Zone,4
307.807,Info,Arena,2,Enter_Zone,3
308.64,Info,Arena,3,Exit_Zone,1
308.64,Info,Arena,3,Enter_Zone,4
308.973,Info,Arena,3,Exit_Zone,4
308.973,Info,Arena,3,Enter_Zone,3
312.906,Info,Arena,2,Exit_Zone,3
312.906,Info,Arena,2,Enter_Zone,2
313.873,Info,Arena,2,Exit_Zone,2
313.873,Info,Arena,2,Enter_Zone,4
314.14,Info,Arena,2,Exit_Zone,4
314.14,Info,Arena,2,Enter_Zone,1
315.206,Info,Arena,3,Exit_Zone,3
315.206,Info,Arena,3,Enter_Zone,4
315.806,Info,Arena,3,Exit_Zone,4
315.806,Info,Arena,3,Enter_Zone,2
318.506,Info,Arena,2,Exit_Zone,1
318.506,Info,Arena,2,Enter_Zone,4
318.639,Info,Arena,2,Exit_Zone,4
318.639,Info,Arena,2,Enter_Zone,1
318.739,Info,Arena,2,Exit_Zone,1
318.739,Info,Arena,2,Enter_Zone,4
319.206,Info,Arena,2,Exit_Zone,4
319.206,Info,Arena,2,Enter_Zone,2
320.939,Info,Arena,3,Exit_Zone,2
320.939,Info,Arena,3,Enter_Zone,4
321.339,Info,Arena,3,Exit_Zone,4
321.339,Info,Arena,3,Enter_Zone,3
324.772,Info,Arena,2,Exit_Zone,2
324.772,Info,Arena,2,Enter_Zone,4
324.805,Info,Arena,1,Exit_Zone,2
324.805,Info,Arena,1,Enter_Zone,4
325.105,Info,Arena,1,Exit_Zone,4
325.105,Info,Arena,1,Enter_Zone,1
325.205,Info,Arena,2,Exit_Zone,4
325.205,Info,Arena,2,Enter_Zone,3
326.472,Info,Arena,3,Exit_Zone,3
326.472,Info,Arena,3,Enter_Zone,4
326.539,Info,Arena,3,Exit_Zone,4
326.539,Info,Arena,3,Enter_Zone,2
327.872,Info,Arena,1,Exit_Zone,1
327.872,Info,Arena,1,Enter_Zone,4
327.938,Info,Arena,1,Exit_Zone,4
327.938,Info,Arena,1,Enter_Zone,2
329.505,Info,Arena,2,Exit_Zone,3
329.505,Info,Arena,2,Enter_Zone,4
329.538,Info,Arena,2,Exit_Zone,4
329.538,Info,Arena,2,Enter_Zone,2
330.838,Info,Arena,3,Exit_Zone,2
330.838,Info,Arena,3,Enter_Zone,3
331.238,Info,Arena,3,Exit_Zone,3
331.238,Info,Arena,3,Enter_Zone,2
332.338,Info,Arena,3,Exit_Zone,2
332.338,Info,Arena,3,Enter_Zone,4
332.738,Info,Arena,3,Exit_Zone,4
332.738,Info,Arena,3,Enter_Zone,3
332.871,Info,Arena,1,Exit_Zone,2
332.871,Info,Arena,1,Enter_Zone,4
333.938,Info,Arena,1,Exit_Zone,4
333.938,Info,Arena,1,Enter_Zone,2
337.138,Info,Arena,3,Exit_Zone,3
337.138,Info,Arena,3,Enter_Zone,4
337.438,Info,Arena,3,Exit_Zone,4
337.438,Info,Arena,3,Enter_Zone,2
338.404,Info,Arena,1,Exit_Zone,2
338.404,Info,Arena,1,Enter_Zone,3
342.104,Info,Arena,3,Exit_Zone,2
